,0,1,2,3
"[5.0, 85.0, 35.0, 115.0]",9.903962132815636e-08,0.0,0.0,0.0
"[5.0, 45.0, 35.0, 75.0]",6.1887462745613665e-06,0.0,-0.01,0.0
"[5.0, 5.0, 35.0, 35.0]",0.0,0.0,0.0002733793509479187,0.0
"[45.0, 5.0, 75.0, 35.0]",0.0,-0.01,0.008032587723315365,0.0
terminal,0.0,0.0,0.0,0.0
"[45.0, 85.0, 75.0, 115.0]",-0.01,0.0,0.0,0.0
"[85.0, 85.0, 115.0, 115.0]",2.4057810000000004e-06,0.0,0.0,0.0
"[125.0, 85.0, 155.0, 115.0]",-0.01,0.0,0.0,0.0
"[85.0, 45.0, 115.0, 75.0]",0.0007057254609,0.0,0.0,-0.01
"[85.0, 5.0, 115.0, 35.0]",0.0,0.0,0.13994164535871148,0.0
